------------------------------------------------------------------------------------
Date: 11/4/2024 -- 02:56:56 (uptime: 0d, 00h 00m 15s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 277
decoder.pkts                                  | Total                     | 303
decoder.bytes                                 | Total                     | 109133
decoder.ipv4                                  | Total                     | 52
decoder.ipv6                                  | Total                     | 251
decoder.ethernet                              | Total                     | 303
decoder.tcp                                   | Total                     | 270
tcp.syn                                       | Total                     | 7
tcp.synack                                    | Total                     | 7
tcp.rst                                       | Total                     | 8
decoder.udp                                   | Total                     | 29
decoder.icmpv6                                | Total                     | 4
decoder.avg_pkt_size                          | Total                     | 360
decoder.max_pkt_size                          | Total                     | 1506
tcp.active_sessions                           | Total                     | 7
flow.total                                    | Total                     | 27
flow.active                                   | Total                     | 27
flow.tcp                                      | Total                     | 12
flow.udp                                      | Total                     | 13
flow.icmpv6                                   | Total                     | 2
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
tcp.sessions                                  | Total                     | 7
tcp.ssn_from_pool                             | Total                     | 7
tcp.segment_from_pool                         | Total                     | 69
detect.alert                                  | Total                     | 14
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 1
app_layer.flow.tls                            | Total                     | 5
app_layer.flow.quic                           | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 10
app_layer.tx.dns_udp                          | Total                     | 23
app_layer.flow.failed_udp                     | Total                     | 2
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9200
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 12
flow.mgr.flows_notimeout                      | Total                     | 12
memcap_pressure                               | Total                     | 8
memcap_pressure_max                           | Total                     | 8
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 989184
http.memuse                                   | Total                     | 5056
flow.memuse                                   | Total                     | 11588608
------------------------------------------------------------------------------------
Date: 11/4/2024 -- 02:57:04 (uptime: 0d, 00h 00m 23s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 545
decoder.pkts                                  | Total                     | 545
decoder.bytes                                 | Total                     | 198087
decoder.ipv4                                  | Total                     | 68
decoder.ipv6                                  | Total                     | 475
decoder.ethernet                              | Total                     | 545
decoder.arp                                   | Total                     | 2
decoder.tcp                                   | Total                     | 505
tcp.syn                                       | Total                     | 10
tcp.synack                                    | Total                     | 10
tcp.rst                                       | Total                     | 12
decoder.udp                                   | Total                     | 34
decoder.icmpv6                                | Total                     | 4
decoder.avg_pkt_size                          | Total                     | 363
decoder.max_pkt_size                          | Total                     | 1506
tcp.active_sessions                           | Total                     | 10
flow.total                                    | Total                     | 36
flow.active                                   | Total                     | 36
flow.tcp                                      | Total                     | 20
flow.udp                                      | Total                     | 14
flow.icmpv6                                   | Total                     | 2
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
tcp.sessions                                  | Total                     | 10
tcp.ssn_from_pool                             | Total                     | 10
tcp.segment_from_pool                         | Total                     | 121
detect.alert                                  | Total                     | 14
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 1
app_layer.flow.tls                            | Total                     | 9
app_layer.flow.quic                           | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 10
app_layer.tx.dns_udp                          | Total                     | 27
app_layer.flow.failed_udp                     | Total                     | 3
flow.mgr.full_hash_pass                       | Total                     | 1
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9200
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 33
flow.mgr.flows_notimeout                      | Total                     | 33
memcap_pressure                               | Total                     | 8
memcap_pressure_max                           | Total                     | 8
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1003520
http.memuse                                   | Total                     | 5056
flow.memuse                                   | Total                     | 11588608
------------------------------------------------------------------------------------
Date: 11/4/2024 -- 02:57:12 (uptime: 0d, 00h 00m 31s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 581
decoder.pkts                                  | Total                     | 582
decoder.bytes                                 | Total                     | 216394
decoder.ipv4                                  | Total                     | 74
decoder.ipv6                                  | Total                     | 506
decoder.ethernet                              | Total                     | 582
decoder.arp                                   | Total                     | 2
decoder.tcp                                   | Total                     | 533
tcp.syn                                       | Total                     | 10
